player_name,team,player_id
A.J. LAWSON,TOR,1630639
AARON GORDON,DEN,203932
AARON HOLIDAY,HOU,1628988
AARON WIGGINS,OKC,1630598
ADEM BONA,PHI,1641737
ADOU THIERO,LAL,1642876
AJAY MITCHELL,OKC,1642349
ALEX CARUSO,OKC,1627936
ALPEREN SENGUN,HOU,1630578
AMARI WILLIAMS,BOS,1642873
AMEN THOMPSON,HOU,1641708
AMIR COFFEY,PHX,1629599
ANDRE DRUMMOND,PHI,203083
ANTHONY BLACK,ORL,1641710
ANTHONY EDWARDS,MIN,1630162
ARIEL HUKPORTI,NYK,1630574
ASA NEWELL,ATL,1642854
AUSAR THOMPSON,DET,1641709
AUSTIN REAVES,LAL,1630559
AYO DOSUNMU,MIN,1630245
BAYLOR SCHEIERMAN,BOS,1631248
BISMACK BIYOMBO,SAS,202687
BLAKE WESLEY,POR,1631104
BONES HYLAND,MIN,1630538
BRANDON INGRAM,TOR,1627742
BRONNY JAMES,LAL,1642355
BRUCE BROWN,DEN,1628971
BUDDY HIELD,ATL,1627741
CADE CUNNINGHAM,DET,1630595
CAMERON JOHNSON,DEN,1629661
CARIS LEVERT,DET,1627747
CARTER BRYANT,SAS,1642868
CASON WALLACE,OKC,1641717
CHAZ LANIER,DET,1642404
CHET HOLMGREN,OKC,1631096
CHRISTIAN BRAUN,DEN,1631128
CJ MCCOLLUM,ATL,203468
CLINT CAPELA,HOU,203991
COLLIN GILLESPIE,PHX,1631221
COLLIN MURRAY-BOYLES,TOR,1642867
COREY KISPERT,ATL,1630557
CRAIG PORTER JR.,CLE,1641854
DALANO BANTON,BOS,1630625
DALEN TERRY,PHI,1631207
DALTON KNECHT,LAL,1642261
DANISS JENKINS,DET,1642450
DARON HOLMES II,DEN,1641747
DE'AARON FOX,SAS,1628368
DEAN WADE,CLE,1629731
DEANDRE AYTON,LAL,1629028
DENI AVDIJA,POR,1630166
DENNIS SCHRODER,CLE,203471
DERRICK WHITE,BOS,1628401
DESMOND BANE,ORL,1630217
DEVIN BOOKER,PHX,1626164
DEVIN VASSELL,SAS,1630170
DILLON BROOKS,PHX,1628415
DILLON JONES,NYK,1641794
DOMINICK BARLOW,PHI,1631230
DONOVAN CLINGAN,POR,1642270
DONOVAN MITCHELL,CLE,1628378
DONTE DIVINCENZO,MIN,1628978
DORIAN FINNEY-SMITH,HOU,1627827
DUNCAN ROBINSON,DET,1629130
DYLAN HARPER,SAS,1642844
DYSON DANIELS,ATL,1630700
EVAN MOBLEY,CLE,1630596
FRANZ WAGNER,ORL,1630532
GABE VINCENT,ATL,1629216
GARRETT TEMPLE,TOR,202066
GOGA BITADZE,ORL,1629048
GRADEY DICK,TOR,1641711
GRAYSON ALLEN,PHX,1628960
HARRISON BARNES,SAS,203084
HAYWOOD HIGHSMITH,PHX,1629312
HUGO GONZALEZ,BOS,1642864
ISAAC JONES,DET,1642403
ISAIAH HARTENSTEIN,OKC,1628392
ISAIAH JOE,OKC,1630198
ISAIAH STEWART,DET,1630191
JA'KOBE WALTER,TOR,1642266
JABARI SMITH JR.,HOU,1631095
JABARI WALKER,PHI,1631133
JADEN MCDANIELS,MIN,1630183
JAE'SEAN TATE,HOU,1630256
JAKE LARAVIA,LAL,1631222
JAKOB POELTL,TOR,1627751
JALEN BRUNSON,NYK,1628973
JALEN DUREN,DET,1631105
JALEN GREEN,PHX,1630224
JALEN JOHNSON,ATL,1630552
JALEN PICKETT,DEN,1629618
